Drug Name,Manufacturer,Dosage Form,Strength,Package Size,Units Sold,Revenue,Sale Date,Region,Sales Representative,Customer Type
Drug A,Company X,Capsule,50 mg,50 g,1820,$16952,15-03-2024,Africa,Katelyn Smith,Hospitals
Drug D,Company V,Tablet,50 mg,60,147,$28543,25-05-2024,Africa,Crystal Lawrence,Hospitals
Drug B,Company Z,Capsule,250 mg,60,990,$5766,03-09-2023,North America,Katherine Sexton,Online Pharmacy
Drug B,Company Z,Injection,500 mg,60,223,$23153,20-03-2024,Asia,Felicia Jones,Online Pharmacy
Drug D,Company Z,Syrup,250 mg,50 g,855,$22920,22-01-2024,South America,Lisa Johnson,Supermarkets
Drug C,Company X,Cream,50 mg,100 ml,968,$6595,04-12-2023,Africa,Amber Hill,Hospitals
Drug B,Company W,Cream,10 mg,10 ml,1378,$37523,11-12-2023,South America,Rebecca Lawrence,Online Pharmacy
Drug B,Company Z,Tablet,500 mg,100 ml,1473,$23815,22-07-2024,South America,John Smith,Supermarkets
Drug C,Company X,Capsule,250 mg,100 ml,791,$40754,05-05-2024,Africa,Scott Jones,Hospitals
Drug C,Company V,Tablet,10 mg,50 g,1523,$35645,12-10-2023,South America,Cynthia Cook,Clinics
Drug E,Company W,Cream,250 mg,50 g,1214,$1820,08-03-2024,South America,Randy Dunn,Online Pharmacy
Drug C,Company V,Injection,250 mg,60,440,$13578,27-06-2024,Asia,Michael Cisneros,Hospitals
Drug D,Company Y,Syrup,10 mg,60,1574,$47682,14-04-2024,Africa,Crystal Keller,Supermarkets
Drug A,Company W,Cream,250 mg,50 g,1880,$41604,04-01-2024,North America,Christina Lopez,Pharmacy
Drug E,Company Z,Tablet,100 mg/ml,10 ml,383,$21024,07-01-2024,South America,Christopher Taylor,Hospitals
Drug E,Company Y,Injection,10 mg,10 ml,253,$18363,16-06-2024,South America,Lisa Alvarado,Online Pharmacy
Drug C,Company Y,Syrup,100 mg/ml,30,1818,$2347,29-01-2024,Africa,Kerry Oneill,Online Pharmacy
Drug E,Company Z,Tablet,250 mg,50 g,1351,$41781,02-10-2023,Asia,Stephanie Collins,Clinics
Drug B,Company Y,Syrup,50 mg,10 ml,1904,$34028,06-09-2023,Africa,Brian Williams,Hospitals
Drug B,Company W,Injection,100 mg/ml,10 ml,1954,$6369,12-09-2023,Africa,Laura Vance,Supermarkets
Drug A,Company V,Capsule,100 mg/ml,60,1042,$18788,30-10-2023,Europe,Sierra Edwards,Clinics
Drug D,Company V,Cream,250 mg,10 ml,1564,$22868,21-09-2023,South America,Lisa Hunter,Supermarkets
Drug C,Company Y,Syrup,100 mg/ml,100 ml,1741,$16211,08-04-2024,Africa,Jeffrey Lane,Clinics
Drug C,Company V,Syrup,250 mg,50 g,565,$32496,07-11-2023,South America,Terri Floyd,Supermarkets
Drug C,Company V,Capsule,500 mg,50 g,293,$40588,21-05-2024,North America,Patrick Valenzuela,Supermarkets
Drug E,Company Y,Capsule,500 mg,10 ml,1032,$23173,04-02-2024,Africa,Todd Roberts,Supermarkets
Drug A,Company Z,Capsule,250 mg,10 ml,1315,$3801,27-12-2023,South America,Jessica Donovan,Clinics
Drug B,Company X,Syrup,100 mg/ml,60,1499,$18175,21-08-2023,Europe,Sean Smith,Pharmacy
Drug B,Company Z,Capsule,250 mg,50 g,1427,$1053,25-07-2024,Europe,Laura Brown,Clinics
Drug A,Company V,Syrup,500 mg,60,1044,$29042,12-11-2023,North America,Dr. Michael Ortiz,Hospitals
Drug B,Company W,Cream,10 mg,60,257,$28677,08-12-2023,Africa,Paul Valdez,Online Pharmacy
Drug A,Company V,Capsule,50 mg,30,1768,$40547,03-12-2023,Africa,Cassandra Diaz,Hospitals
Drug B,Company X,Syrup,250 mg,50 g,654,$16542,13-11-2023,Asia,Matthew Richards,Hospitals
Drug C,Company Z,Tablet,100 mg/ml,60,1137,$33706,17-07-2024,North America,Travis Gonzalez,Hospitals
Drug E,Company X,Capsule,10 mg,30,739,$38821,08-12-2023,South America,Sandra Murray,Pharmacy
Drug A,Company X,Capsule,10 mg,100 ml,1610,$5779,29-09-2023,North America,Tammy Harper,Pharmacy
Drug D,Company V,Syrup,500 mg,60,1703,$7678,02-02-2024,Africa,Dwayne Johnson,Hospitals
Drug B,Company Y,Cream,250 mg,60,1639,$15878,15-09-2023,Europe,Mary Dorsey,Pharmacy
Drug B,Company W,Capsule,10 mg,100 ml,1219,$48415,28-03-2024,South America,Brian Beasley,Supermarkets
Drug A,Company X,Syrup,50 mg,100 ml,871,$41051,01-01-2024,Asia,Russell Wong,Hospitals
Drug C,Company W,Cream,250 mg,50 g,995,$17900,08-02-2024,South America,Jason Levy,Online Pharmacy
Drug B,Company X,Injection,250 mg,30,1446,$37654,30-11-2023,Africa,Lindsey Shepherd,Hospitals
Drug B,Company X,Tablet,10 mg,60,1269,$22319,20-11-2023,North America,Matthew Nolan,Online Pharmacy
Drug A,Company W,Syrup,50 mg,10 ml,1232,$19247,26-03-2024,Europe,Stephen Schroeder,Hospitals
Drug A,Company X,Tablet,50 mg,30,814,$25411,23-12-2023,South America,Jennifer Taylor,Online Pharmacy
Drug B,Company V,Syrup,10 mg,100 ml,157,$3809,23-04-2024,South America,John Ewing,Supermarkets
Drug A,Company Y,Syrup,10 mg,30,272,$39524,09-07-2024,South America,Kimberly Blackburn,Pharmacy
Drug B,Company W,Cream,500 mg,50 g,1222,$19740,18-11-2023,South America,Michael Jones,Pharmacy
Drug D,Company X,Capsule,250 mg,10 ml,151,$18797,10-02-2024,Europe,Jacob Salinas,Hospitals
Drug D,Company V,Capsule,500 mg,10 ml,798,$23785,03-07-2024,South America,Brianna Alexander,Online Pharmacy
Drug A,Company W,Injection,50 mg,10 ml,310,$31204,19-08-2023,South America,Patricia Gonzales,Online Pharmacy
Drug B,Company X,Tablet,50 mg,10 ml,1280,$45096,19-06-2024,Europe,Caitlyn Juarez,Online Pharmacy
Drug C,Company V,Syrup,100 mg/ml,50 g,1776,$30640,14-06-2024,Europe,Willie Horn,Pharmacy
Drug E,Company Y,Cream,500 mg,30,784,$25665,05-05-2024,South America,Tracy Bond,Hospitals
Drug A,Company Y,Injection,250 mg,60,1936,$40605,29-11-2023,Africa,Mark Martin,Online Pharmacy
Drug D,Company V,Cream,10 mg,50 g,1675,$29315,07-11-2023,Africa,William Wolf MD,Pharmacy
Drug E,Company X,Capsule,500 mg,100 ml,906,$10256,21-08-2023,South America,Kelsey Phillips,Online Pharmacy
Drug C,Company X,Cream,10 mg,60,873,$44797,23-09-2023,North America,Corey Weaver,Hospitals
Drug C,Company V,Cream,250 mg,30,1227,$37132,09-05-2024,South America,Brendan Garza,Pharmacy
Drug C,Company Y,Capsule,500 mg,30,1921,$8234,29-07-2023,South America,Jeanette Vasquez,Pharmacy
Drug A,Company Z,Syrup,500 mg,10 ml,1907,$11906,05-04-2024,Asia,Jeffrey Rivera,Online Pharmacy
Drug D,Company Y,Cream,10 mg,60,1766,$36835,17-03-2024,Africa,Brandy Henderson,Pharmacy
Drug A,Company X,Syrup,250 mg,60,793,$45468,26-11-2023,Africa,Robert Jones,Hospitals
Drug A,Company W,Cream,50 mg,100 ml,1738,$22945,21-02-2024,South America,Jason Caldwell,Supermarkets
Drug C,Company Z,Tablet,250 mg,100 ml,1088,$46398,08-07-2024,South America,Cynthia Thomas,Online Pharmacy
Drug C,Company W,Injection,250 mg,100 ml,643,$1303,09-06-2024,Africa,Alicia Lambert,Hospitals
Drug D,Company X,Syrup,250 mg,10 ml,1498,$33259,27-07-2024,South America,Michelle Abbott,Hospitals
Drug E,Company V,Injection,250 mg,30,1558,$8553,15-12-2023,Asia,Robin Roth,Hospitals
Drug D,Company Y,Capsule,50 mg,30,1423,$28304,27-12-2023,Asia,Emily Mills,Online Pharmacy
Drug D,Company V,Capsule,100 mg/ml,10 ml,1777,$33795,11-02-2024,South America,Michael Roberson,Pharmacy
Drug E,Company V,Tablet,250 mg,100 ml,1908,$34115,03-11-2023,Asia,Heather Adams,Clinics
Drug C,Company X,Capsule,10 mg,100 ml,1291,$30051,07-01-2024,Europe,Anna Ford,Pharmacy
Drug A,Company V,Tablet,50 mg,10 ml,1702,$29950,13-08-2023,South America,Brian Greer,Pharmacy
Drug E,Company Z,Injection,500 mg,60,1367,$30714,13-04-2024,Africa,Joshua Gomez,Pharmacy
Drug D,Company V,Tablet,100 mg/ml,30,1583,$45689,27-08-2023,Asia,Michael Orr,Supermarkets
Drug E,Company V,Capsule,500 mg,100 ml,848,$35016,15-03-2024,South America,Elizabeth Powell,Supermarkets
Drug B,Company Y,Syrup,10 mg,100 ml,1886,$11515,10-06-2024,North America,Steven Decker,Supermarkets
Drug D,Company V,Tablet,250 mg,50 g,1391,$49897,17-09-2023,South America,Lisa Friedman,Supermarkets
Drug C,Company Z,Injection,250 mg,60,536,$12572,07-10-2023,Africa,Jeremy Brandt,Online Pharmacy
Drug B,Company Z,Injection,500 mg,60,1999,$40809,16-03-2024,South America,Cheryl Campbell,Pharmacy
Drug D,Company Z,Tablet,250 mg,10 ml,1192,$39757,20-07-2024,Africa,Emily Turner,Clinics
Drug D,Company W,Cream,250 mg,50 g,846,$2237,06-10-2023,North America,Cheryl Morris,Pharmacy
Drug A,Company X,Injection,500 mg,10 ml,731,$35093,23-10-2023,Africa,Richard Mendoza,Pharmacy
Drug A,Company W,Tablet,100 mg/ml,30,1943,$44592,19-05-2024,Asia,Isabel Whitaker,Pharmacy
Drug A,Company Y,Capsule,100 mg/ml,60,1017,$29700,18-10-2023,Asia,Darryl Nicholson,Hospitals
Drug A,Company X,Cream,500 mg,10 ml,929,$37018,23-07-2024,North America,Patricia Mclean,Clinics
Drug D,Company Z,Capsule,10 mg,60,811,$44885,20-11-2023,South America,Raymond Scott,Online Pharmacy
Drug E,Company Y,Syrup,500 mg,60,820,$14086,31-01-2024,Africa,Cindy Diaz,Online Pharmacy
Drug A,Company X,Syrup,100 mg/ml,60,698,$27380,26-07-2024,Africa,Timothy Bradley,Online Pharmacy
Drug C,Company Y,Capsule,250 mg,10 ml,679,$35477,02-07-2024,South America,Chad Lewis,Supermarkets
Drug C,Company V,Capsule,10 mg,50 g,1225,$47265,24-12-2023,South America,Ashley White,Pharmacy
Drug B,Company W,Syrup,250 mg,60,1913,$37244,06-12-2023,Africa,Emily Scott,Hospitals
Drug B,Company W,Tablet,100 mg/ml,10 ml,1381,$43046,28-07-2024,Europe,Kelly Berry,Online Pharmacy
Drug A,Company W,Injection,100 mg/ml,50 g,939,$37589,02-12-2023,Asia,Michael Miller,Supermarkets
Drug B,Company Z,Injection,10 mg,10 ml,472,$7516,06-02-2024,South America,Brian Coleman,Online Pharmacy
Drug C,Company Y,Syrup,100 mg/ml,100 ml,405,$19413,05-03-2024,Asia,James Sexton,Online Pharmacy
Drug E,Company Z,Cream,50 mg,10 ml,383,$9225,21-10-2023,North America,Mitchell Butler,Online Pharmacy
Drug C,Company Z,Syrup,100 mg/ml,10 ml,1863,$35677,11-03-2024,South America,Jeremy Mcdaniel,Hospitals
Drug E,Company V,Syrup,10 mg,100 ml,469,$9657,15-07-2024,South America,Heidi Joseph,Clinics
Drug A,Company Y,Injection,50 mg,50 g,1296,$14169,22-02-2024,Europe,Caitlyn Smith,Hospitals
Drug D,Company V,Tablet,250 mg,60,1350,$24407,13-05-2024,South America,Robert Brown,Hospitals
Drug B,Company V,Tablet,10 mg,50 g,930,$3721,11-02-2024,Europe,Catherine Porter,Online Pharmacy
Drug C,Company V,Capsule,10 mg,10 ml,1185,$43131,03-03-2024,Asia,Angela Pierce,Clinics
Drug E,Company V,Capsule,50 mg,60,179,$37526,20-10-2023,South America,Jason Taylor,Supermarkets
Drug B,Company Y,Injection,10 mg,30,1859,$27781,09-01-2024,South America,Stephen Rodriguez,Pharmacy
Drug D,Company V,Capsule,50 mg,60,1089,$6993,16-09-2023,Africa,Lisa Gross,Online Pharmacy
Drug A,Company Y,Tablet,10 mg,10 ml,1428,$38657,09-10-2023,Africa,Wyatt Norris,Online Pharmacy
Drug A,Company X,Syrup,500 mg,10 ml,431,$42644,11-02-2024,Africa,Victoria Maldonado,Supermarkets
Drug B,Company Z,Capsule,50 mg,50 g,1670,$44138,10-03-2024,Africa,Stacey Jordan,Hospitals
Drug D,Company Y,Tablet,100 mg/ml,100 ml,206,$5211,05-05-2024,North America,Isabella Alvarado,Hospitals
Drug A,Company X,Cream,100 mg/ml,100 ml,1499,$42504,02-11-2023,South America,Anna Griffin,Pharmacy
Drug B,Company X,Cream,500 mg,60,1503,$24284,14-06-2024,North America,Jason Sanders,Online Pharmacy
Drug A,Company Z,Syrup,250 mg,60,1473,$49653,23-09-2023,North America,Kevin Sanford,Online Pharmacy
Drug D,Company V,Capsule,100 mg/ml,10 ml,1294,$14645,15-06-2024,South America,Corey Miller,Pharmacy
Drug E,Company Y,Syrup,500 mg,100 ml,1337,$21269,13-01-2024,Europe,Ronald Caldwell,Clinics
Drug B,Company X,Tablet,100 mg/ml,50 g,580,$15529,18-07-2024,South America,Andre Castillo,Hospitals
Drug D,Company V,Tablet,500 mg,60,1872,$30435,12-08-2023,Africa,Jessica Nelson,Pharmacy
Drug A,Company W,Capsule,500 mg,10 ml,532,$28042,05-08-2023,South America,Darin Smith,Clinics
Drug A,Company Z,Tablet,100 mg/ml,100 ml,181,$32650,18-05-2024,North America,Carmen Bailey,Supermarkets
Drug B,Company V,Capsule,500 mg,10 ml,422,$32388,02-12-2023,Europe,Kristopher Martinez,Online Pharmacy
Drug D,Company V,Cream,500 mg,100 ml,892,$9396,14-12-2023,South America,Joseph Brewer,Clinics
Drug A,Company X,Cream,250 mg,30,1964,$11786,21-05-2024,Asia,Michael Guzman,Supermarkets
Drug C,Company Z,Tablet,250 mg,30,1698,$19170,29-07-2023,Europe,Theresa Hansen,Pharmacy
Drug B,Company X,Cream,500 mg,60,1222,$28574,19-12-2023,North America,Daniel Murillo,Clinics
Drug B,Company V,Syrup,50 mg,10 ml,604,$38185,10-03-2024,South America,Jake Cook,Supermarkets
Drug E,Company Z,Cream,250 mg,50 g,1811,$42397,08-08-2023,Asia,Gary Grant,Online Pharmacy
Drug C,Company Y,Injection,250 mg,60,560,$42407,14-05-2024,Europe,Don Brown,Pharmacy
Drug C,Company X,Tablet,250 mg,10 ml,862,$49311,25-03-2024,Europe,Shelby Johnson,Online Pharmacy
Drug E,Company Z,Tablet,500 mg,50 g,1017,$21123,14-03-2024,Africa,Virginia Phillips,Clinics
Drug C,Company W,Cream,250 mg,30,1468,$32204,27-03-2024,South America,Melissa Kennedy,Online Pharmacy
Drug E,Company W,Syrup,10 mg,30,1647,$21201,08-02-2024,North America,Patricia Norris,Clinics
Drug A,Company V,Tablet,250 mg,30,254,$43256,31-08-2023,Africa,Taylor Barnes,Pharmacy
Drug D,Company Z,Syrup,50 mg,10 ml,1661,$8678,06-04-2024,Africa,Christina Montoya,Clinics
Drug B,Company Y,Syrup,10 mg,100 ml,1446,$49381,16-03-2024,Asia,Brittney Gonzales,Supermarkets
Drug D,Company V,Syrup,10 mg,100 ml,936,$48645,29-07-2023,Asia,Stephanie Williams,Supermarkets
Drug B,Company W,Injection,500 mg,30,1623,$21818,14-05-2024,South America,Hayden Rodriguez,Pharmacy
Drug A,Company V,Cream,50 mg,30,1318,$7513,03-07-2024,South America,Susan Mccoy,Supermarkets
Drug C,Company V,Injection,100 mg/ml,30,123,$4294,09-01-2024,Asia,Keith Payne,Hospitals
Drug D,Company Y,Tablet,50 mg,30,1466,$24941,22-07-2024,Africa,John Lindsey,Supermarkets
Drug D,Company Z,Cream,50 mg,60,390,$46339,10-08-2023,Africa,Hannah Long,Clinics
Drug C,Company V,Syrup,250 mg,50 g,1586,$9800,13-05-2024,Asia,Kevin Gates,Supermarkets
Drug D,Company Y,Syrup,500 mg,10 ml,739,$48204,06-02-2024,North America,Ricky Garner,Pharmacy
Drug C,Company Y,Capsule,10 mg,10 ml,1267,$19752,18-04-2024,Europe,Elizabeth Lopez,Online Pharmacy
Drug C,Company V,Tablet,250 mg,30,1834,$37074,12-07-2024,Asia,Gary Valencia,Online Pharmacy
Drug A,Company Y,Cream,250 mg,10 ml,667,$7794,02-04-2024,Africa,Emily Brown,Hospitals
Drug D,Company Z,Injection,10 mg,60,1360,$33904,30-08-2023,Africa,Richard Stewart,Pharmacy
Drug E,Company X,Tablet,50 mg,60,1124,$15758,01-11-2023,North America,Aaron Cline,Pharmacy
Drug E,Company W,Tablet,250 mg,60,236,$46906,26-08-2023,Europe,Joshua Phillips,Hospitals
Drug C,Company X,Tablet,50 mg,60,1134,$13081,17-03-2024,Africa,Tammy Wolfe,Clinics
Drug C,Company Z,Injection,250 mg,100 ml,1262,$23680,05-08-2023,Africa,Catherine Henry,Supermarkets
Drug B,Company Z,Capsule,100 mg/ml,10 ml,153,$19965,10-10-2023,North America,Tiffany Lane,Pharmacy
Drug A,Company W,Injection,500 mg,50 g,1159,$49694,29-04-2024,South America,Jodi Lowe,Supermarkets
Drug E,Company Z,Injection,500 mg,30,575,$42355,18-08-2023,South America,James Elliott,Pharmacy
Drug A,Company X,Capsule,250 mg,60,189,$45637,04-08-2023,Africa,Cody Williams,Pharmacy
Drug E,Company W,Capsule,250 mg,60,1132,$46407,12-01-2024,Europe,Brian Sanchez,Clinics
Drug C,Company X,Injection,100 mg/ml,100 ml,411,$37320,19-05-2024,North America,Teresa Taylor,Clinics
Drug D,Company Z,Syrup,50 mg,100 ml,165,$26575,13-12-2023,South America,Dana Sharp,Pharmacy
Drug A,Company Y,Injection,100 mg/ml,100 ml,1178,$33005,15-09-2023,Europe,Kevin Boyle,Supermarkets
Drug C,Company Y,Tablet,100 mg/ml,100 ml,526,$43392,10-01-2024,Africa,Dennis Wilson,Supermarkets
Drug D,Company Y,Syrup,250 mg,100 ml,1084,$34603,20-11-2023,South America,Darrell Parsons,Pharmacy
Drug D,Company Y,Capsule,50 mg,50 g,574,$27787,26-09-2023,North America,Charles Roberson,Pharmacy
Drug A,Company Y,Tablet,100 mg/ml,100 ml,1915,$41152,18-11-2023,North America,Jodi Reed,Online Pharmacy
Drug E,Company V,Cream,50 mg,100 ml,686,$47207,08-05-2024,South America,Lisa Williams,Hospitals
Drug C,Company V,Injection,100 mg/ml,10 ml,489,$31891,08-07-2024,South America,Meagan Braun,Supermarkets
Drug A,Company Y,Syrup,500 mg,60,1995,$25257,23-11-2023,South America,Michael Gibson,Pharmacy
Drug E,Company X,Syrup,500 mg,100 ml,1454,$28319,26-04-2024,Asia,Mark Rivas,Clinics
Drug C,Company W,Tablet,10 mg,10 ml,221,$20149,16-09-2023,Europe,Paul Sullivan,Pharmacy
Drug B,Company W,Tablet,100 mg/ml,100 ml,449,$20979,12-01-2024,Europe,Mr. Kevin Larson,Pharmacy
Drug B,Company Z,Injection,500 mg,60,1180,$24090,06-03-2024,South America,George White,Supermarkets
Drug A,Company W,Tablet,50 mg,30,898,$10545,21-08-2023,Asia,John Davis,Pharmacy
Drug A,Company W,Cream,10 mg,60,967,$37020,10-05-2024,Asia,Kevin Clark,Supermarkets
Drug A,Company W,Injection,50 mg,60,909,$12714,18-02-2024,Africa,John Orozco,Online Pharmacy
Drug A,Company Z,Capsule,100 mg/ml,100 ml,654,$8859,01-12-2023,Asia,Danielle Thomas,Hospitals
Drug C,Company V,Injection,500 mg,30,883,$14721,24-09-2023,South America,Yolanda Sims,Clinics
Drug B,Company W,Cream,100 mg/ml,100 ml,565,$4821,30-01-2024,Europe,John Allen,Clinics
Drug B,Company V,Capsule,250 mg,50 g,933,$26268,07-05-2024,North America,Larry Dunn,Hospitals
Drug C,Company W,Injection,100 mg/ml,10 ml,1793,$12451,24-06-2024,Africa,Robert Clark,Online Pharmacy
Drug E,Company V,Syrup,500 mg,100 ml,697,$19171,25-02-2024,Asia,Pamela Benson,Pharmacy
Drug D,Company V,Cream,250 mg,30,379,$45953,01-11-2023,Asia,Emily Wright,Supermarkets
Drug D,Company Y,Injection,10 mg,60,1640,$18487,05-10-2023,South America,Robert Johnson,Clinics
Drug C,Company X,Syrup,500 mg,10 ml,244,$29056,07-01-2024,Asia,Phillip Turner,Supermarkets
Drug C,Company Z,Tablet,10 mg,60,482,$4566,30-09-2023,Asia,Antonio Murphy,Online Pharmacy
Drug B,Company Y,Injection,500 mg,60,982,$5040,30-12-2023,Asia,Erin Cline,Hospitals
Drug D,Company X,Tablet,100 mg/ml,100 ml,401,$33003,10-11-2023,Asia,Jessica Morris,Hospitals
Drug C,Company X,Capsule,100 mg/ml,60,1315,$13838,07-02-2024,South America,Stephen Smith,Clinics
Drug B,Company W,Capsule,500 mg,10 ml,1986,$21856,15-01-2024,South America,Kayla Meyer,Pharmacy
Drug A,Company W,Cream,10 mg,100 ml,626,$41156,23-11-2023,North America,Cynthia Phillips,Pharmacy
Drug D,Company V,Tablet,50 mg,30,817,$41978,24-10-2023,Europe,James Smith,Clinics
Drug A,Company W,Syrup,50 mg,10 ml,1540,$46616,12-05-2024,Europe,Jacob Spencer,Clinics
Drug B,Company Y,Cream,50 mg,60,1352,$9133,11-01-2024,Africa,Joseph Marks,Supermarkets
Drug C,Company X,Injection,100 mg/ml,10 ml,428,$26054,10-09-2023,Asia,James Campbell,Pharmacy
Drug D,Company Z,Injection,250 mg,60,1934,$41356,21-04-2024,South America,Kristina Simpson,Hospitals
Drug C,Company Z,Capsule,10 mg,50 g,1826,$2719,06-01-2024,South America,Cody Robbins,Supermarkets
Drug E,Company Z,Tablet,50 mg,10 ml,594,$11887,28-08-2023,Africa,Karen Buchanan,Online Pharmacy
Drug D,Company W,Injection,250 mg,50 g,105,$36153,26-07-2024,Europe,James Haley,Pharmacy
Drug C,Company W,Tablet,250 mg,50 g,1169,$21685,22-11-2023,South America,Sarah Hammond,Clinics
Drug A,Company Z,Tablet,500 mg,30,1463,$49601,01-10-2023,Africa,Rebecca Jackson,Supermarkets
Drug C,Company W,Tablet,250 mg,50 g,1091,$15021,15-06-2024,North America,Angela Nunez,Hospitals
Drug C,Company Z,Injection,50 mg,10 ml,230,$15353,02-05-2024,Asia,Richard Gutierrez,Supermarkets
Drug E,Company X,Cream,500 mg,30,1603,$46470,14-12-2023,Africa,Barbara Kim,Supermarkets
Drug C,Company Y,Capsule,100 mg/ml,60,522,$32783,27-07-2024,Africa,Elizabeth Mcdaniel,Supermarkets
Drug A,Company W,Cream,50 mg,100 ml,302,$9722,11-03-2024,Europe,Jamie Fischer,Online Pharmacy
Drug E,Company V,Tablet,250 mg,10 ml,664,$32835,16-12-2023,North America,Andre Bauer,Pharmacy
Drug B,Company V,Tablet,500 mg,60,1701,$36720,17-01-2024,Asia,Robert Graham,Supermarkets
Drug B,Company W,Capsule,500 mg,30,1048,$1486,25-12-2023,Africa,Elizabeth Adams,Supermarkets
Drug D,Company Y,Tablet,250 mg,10 ml,1570,$17354,09-08-2023,Africa,Richard Lawson,Hospitals
Drug D,Company X,Tablet,500 mg,30,109,$17302,30-07-2023,Africa,Christopher Fischer,Supermarkets
Drug D,Company Z,Capsule,100 mg/ml,10 ml,141,$19153,28-10-2023,Europe,Jasmine Day,Supermarkets
Drug B,Company X,Cream,10 mg,60,1239,$36616,06-01-2024,Africa,Lisa Cordova,Clinics
Drug D,Company X,Tablet,50 mg,60,1499,$4766,13-06-2024,Africa,Alejandro Bishop,Online Pharmacy
Drug D,Company X,Tablet,10 mg,60,1869,$25748,05-11-2023,South America,David Anderson,Online Pharmacy
Drug C,Company W,Syrup,100 mg/ml,30,1355,$27880,07-03-2024,South America,Sara Chapman,Clinics
Drug C,Company V,Capsule,100 mg/ml,30,1173,$8649,09-01-2024,South America,Kevin Wilson,Online Pharmacy
Drug D,Company Z,Syrup,10 mg,60,828,$30214,25-06-2024,North America,Edward Silva,Pharmacy
Drug C,Company W,Syrup,100 mg/ml,30,453,$10749,25-11-2023,Europe,Erika Robinson,Supermarkets
Drug C,Company Y,Injection,250 mg,50 g,132,$17487,28-12-2023,Asia,Lauren Baker,Supermarkets
Drug A,Company W,Cream,100 mg/ml,100 ml,620,$32593,01-11-2023,Asia,Christopher Wilson,Hospitals
Drug E,Company X,Tablet,10 mg,50 g,1423,$21911,06-04-2024,Africa,Steven Bray,Hospitals
Drug B,Company Z,Cream,500 mg,50 g,1308,$16623,26-07-2024,South America,Sharon Carter,Clinics
Drug E,Company Y,Injection,500 mg,60,460,$29993,16-03-2024,Africa,Gregg Yu,Pharmacy
Drug B,Company Z,Injection,50 mg,10 ml,1598,$43114,20-01-2024,North America,Bradley Pennington,Online Pharmacy
Drug E,Company W,Tablet,100 mg/ml,50 g,978,$46578,30-11-2023,Europe,Angelica Hensley,Hospitals
Drug B,Company Z,Tablet,50 mg,100 ml,1484,$15499,27-05-2024,North America,Benjamin Holloway,Pharmacy
Drug A,Company V,Cream,500 mg,100 ml,1807,$37740,11-09-2023,South America,Michael Williams,Clinics
Drug D,Company Z,Tablet,100 mg/ml,50 g,1197,$36217,28-02-2024,South America,William Ford,Online Pharmacy
Drug A,Company X,Injection,100 mg/ml,30,1169,$33004,11-06-2024,South America,Miss Elizabeth Evans,Online Pharmacy
Drug C,Company X,Syrup,10 mg,10 ml,1713,$30761,03-09-2023,North America,James Mccarty,Online Pharmacy
Drug D,Company X,Injection,500 mg,100 ml,1245,$32469,11-11-2023,Africa,Adam Cox,Pharmacy
